iter	Passed	Remaining
0	1	116
1	2	113
2	3	107
3	4	102
4	5	102
5	6	102
6	7	103
7	9	104
8	10	104
9	11	102
10	12	101
11	13	100
12	14	99
13	15	98
14	17	100
15	19	101
16	20	101
17	21	99
18	22	97
19	23	95
20	24	93
21	25	91
22	27	90
23	28	89
24	29	87
25	30	86
26	31	84
27	32	83
28	33	82
29	34	81
30	36	80
31	37	78
32	38	77
33	39	76
34	40	75
35	41	73
36	42	72
37	43	71
38	44	70
39	45	68
40	47	67
41	47	65
42	48	64
43	49	63
44	50	62
45	52	61
46	53	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	40
63	70	39
64	71	38
65	73	37
66	74	36
67	74	35
68	75	34
69	76	32
70	77	31
71	78	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	23
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	108	1
99	109	0
